"BKAMA"	"Mindestalteranfrage mit Autorisierung"
"HIDBSS"	"Bestand terminierter SEPA-Einzellastschriften Parameter"
"HIDEA"	"Dauereinzellastschriftänderung bestätigen"
"HIDEAS"	"Dauereinzellastschrift ändern Parameter"
"HIDEB"	"Dauereinzellastschriftbestand rückmelden"
"HIDEBS"	"Dauereinzellastschriftbestand Parameter"
"HIDEE"	"Dauereinzellastschrifteinrichtung bestätigen"
"HIDEES"	"Dauereinzellastschrift einrichten Parameter"
"HIDELS"	"Dauereinzellastschrift löschen Parameter"
"HIDEU"	"Dauereinzellastschriftaussetzung bestätigen"
"HIDEUS"	"Dauereinzellastschrift aussetzen Parameter"
"HIDEV"	"Dauereinzellastschriftänderungsvormerkungen rückmelden"
"HIDEVS"	"Dauereinzellastschriftänderungsvormerkungen anfordern, Parameter"
"HIDMB"	"Bestand terminierter SEPA-Sammellastschriften rückmelden"
"HIDMBS"	"Bestand terminierter SEPA-Sammellastschriften Parameter"
"HIDME"	"Einreichung terminierter SEPA-Sammellastschrift bestätigen"
"HIDMES"	"Terminierte SEPA-Sammellastschrift einreichen Parameter"
"HIDMLS"	"Terminierte SEPA-Sammellastschrift löschen Parameter"
"HIDSA"	"Änderung terminierter SEPA-Einzellastschriften bestätigen"
"HIDSAS"	"Terminierte SEPA-Einzellastschrift ändern Parameter"
"HIDSB"	"Bestand SEPA-Lastschriftwiderspruch rückmelden"
"HIDSBS"	"Bestand Lastschriftwiderspruch Parameter"
"HIDSE"	"Einreichung terminierter SEPA-Einzellastschrift bestätigen"
"HIDSES"	"Terminierte SEPA-Einzellastschrift einreichen Parameter"
"HIDSLS"	"Terminierte SEPA-Einzellastschrift löschen Parameter"
"HIDSWS"	"SEPA-Lastschriftwiderspruch Parameter"
"HIDTES"	"Eilüberweisung (Sammel) Parameter"
"HIDVK"	"Devisenkurse rückmelden"
"HIDVKS"	"Devisenkurse Parameter"
"HIECA"	"Kontoauszug camt"
"HIECAS"	"Kontoauszug camt Parameter"
"HIEILS"	"Eilüberweisung (Einzel) Parameter"
"HIEKA"	"Kontoauszug"
"HIEKAS"	"Kontoauszug Parameter"
"HIEKP"	"Kontoauszug PDF"
"HIEKPS"	"Kontoauszug PDF Parameter"
"HIESUS"	"EU-Standardüberweisung Parameter"
"HIEUES"	"Euro-Eilüberweisung Parameter"
"HIFDA"	"Finanzdatenformat rückmelden"
"HIFDAS"	"Finanzdatenformat anfordern Parameter"
"HIFDB"	"Bearbeitungsstatus Finanzdatenformat rückmelden"
"HIFDBS"	"Bearbeitungsstatus Finanzdatenformat Parameter"
"HIFDL"	"Finanzdatenformatliste rückmelden"
"HIFDLS"	"Finanzdatenformatliste anfordern Parameter"
"HIFDS"	"Bearbeitungsstatus Dokument rückmelden"
"HIFDSS"	"Finanzdatenformat senden Parameter"
"HIFGA"	"Festgeldänderung bestätigen"
"HIFGAS"	"Festgeld ﾊndern Parameter"
"HIFGB"	"Festgeldbestand rückmelden"
"HIFGBS"	"Festgeldbestand Parameter"
"HIFGK"	"Festgeldkonditionen rückmelden"
"HIFGKS"	"Festgeldkonditionen Parameter"
"HIFGN"	"Festgeldneuanlage bestätigen"
"HIFGNS"	"Festgeldneuanlage Parameter"
"HIFGP"	"Festgeldprolongation bestätigen"
"HIFGPS"	"Festgeldprolongation Parameter"
"HIFGWS"	"Festgeldneuanlage widerrufen Parameter"
"HIFPO"	"Festpreisordereinreichung bestätigen"
"HIFPOS"	"Festpreisorder Parameter"
"HIFPWS"	"Festgeldprolongation widerrufen Parameter"
"HIFRA"	"Einreichung Freistellungsauftrag bestätigen"
"HIFRAS"	"Freistellungsauftrag anlegen Parameter"
"HIFRD"	"Freistellungsdaten rückmelden"
"HIFRDS"	"Freistellungsdaten Parameter"
"HIFRLS"	"Freistellungsdaten löschen Parameter"
"HIFRNS"	"Freistellungsdaten ändern Parameter"
"HIGAMS"	"Gastmeldung Parameter"
"HIGUB"	"Bestätigung Einreichung garantierte Überweisung"
"HIGUBS"	"Garantierte Überweisung Parameter"
"HIHSI"	"HHD/Secoder Informationen rückmelden"
"HIHSIS"	"HHD/Secoder Informationen Parameter"
"HIINF"	"Informationen rückmelden"
"HIINFS"	"Informationsanforderung Parameter"
"HIISA"	"Übermittlung eines öffentlichen Schlüssels"
"HIKAN"	"Kontoumsätze rückmelden/neue Umsätze"
"HIKANS"	"Kontoumsätze/neu Parameter"
"HIKASS"	"Kartensperre beantragen Parameter"
"HIKAU"	"Übersicht Kontoauszüge "
"HIKAUS"	"Übersicht Kontoauszüge Parameter	"
"HIKAZ"	"Kontoumsätze rückmelden/Zeitraum"
"HIKAZS"	"Kontoumsätze/Zeitraum Parameter"
"HIKDD"	"Kundendaten rückmelden"
"HIKDDS"	"Kundendaten Parameter"
"HIKDMS"	"Kundenmeldung Parameter"
"HIKIA"	"Kreditinstitutsangebote rückmelden"
"HIKIAS"	"Kreditinstitutsangebote Parameter"
"HIKIF"	"Kontoinformationen rückmelden"
"HIKIFS"	"Kontoinformationen Parameter"
"HIKIM"	"Kreditinstitutsmeldung"
"HIKOM"	"Kommunikationszugang rückmelden"
"HIKOMS"	"Kommunikationszugang Parameter"
"HIKPV"	"Komprimierungsverfahren"
"HILASS"	"Lastschrift Parameter"
"HILGAS"	"Laden GeldKarte abmelden Parameter"
"HILGB"	"Laden GeldKarte bestätigen Antwort"
"HILGBS"	"Laden GeldKarte bestätigen Parameter"
"HILGD"	"Laden GeldKarte durchführen Antwort"
"HILGDS"	"Laden GeldKarte durchführen Parameter"
"HILGE"	"Laden GeldKarte einleiten Antwort"
"HILGES"	"Laden GeldKarte einleiten Parameter"
"HILGO"	"Laden GeldKarte Storno vorbereiten Antwort"
"HILGOS"	"Laden GeldKarte Storno vorbereiten Parameter"
"HILGRS"	"Laden Geldkarte registrieren Parameter"
"HILGS"	"Laden GeldKarte Status"
"HILGSS"	"Laden GeldKarte Statusanfrage Parameter"
"HILGT"	"Laden GeldKarte Storno durchführen Antwort"
"HILGTS"	"Laden GeldKarte Storno durchführen Parameter"
"HILGV"	"Laden GeldKarte vorbereiten Antwort"
"HILGVS"	"Laden GeldKarte vorbereiten Parameter"
"HILGX"	"Laden GeldKarte Storno Bestätigung"
"HILGXS"	"Laden GeldKarte Storno bestätigen Parameter"
"HILSWS"	"Lastschriftwiderspruch Parameter"
"HILWB"	"Bestand Lastschriftwiderspruch"
"HILWBS"	"Bestand Lastschriftwiderspruch Parameter"
"HIMTAS"	"Mobilfunkverbindung ändern Parameter"
"HIMTFS"	"Mobilfunkverbindung freischalten Parameter"
"HIMTRS"	"Mobilfunkverbindung registrieren Parameter"
"HINEA"	"Liste Neuemissionen"
"HINEAS"	"Liste Neuemissionen Parameter"
"HINEZ"	"Einreichung Zeichnung bestätigen"
"HINEZS"	"Neuemission zeichnen Parameter"
"HIOAN"	"Orderanzeige"
"HIOANS"	"Orderanzeige Parameter"
"HIPAES"	"PIN ändern Parameter"
"HIPINS"	"PIN-TAN-spezifische Informationen"
"HIPPDS"	"Prepaidkarte laden Parameter"
"HIPRO"	"Statusprotokoll rückmelden"
"HIPROS"	"Statusprotokoll Parameter"
"HIPSAS"	"PIN-Sperre aufheben Parameter"
"HIPSPS"	"PIN sperren Parameter"
"HIQTGS"	"Empfangsquittung Parameter"
"HIRMG"	"Rückmeldungen zur Gesamtnachricht"
"HIRMS"	"Rückmeldungen zu Segmenten"
"HISAL"	"Saldenrückmeldung"
"HISALS"	"Saldenabfrage Parameter"
"HISHV"	"Sicherheitsverfahren"
"HISLAS"	"Sammellastschrift Parameter"
"HISLB"	"Bestand terminierter Sammellastschriften rückmelden"
"HISLBS"	"Bestand terminierter Sammellastschriften Parameter"
"HISLE"	"Einreichung terminierter Sammellastschrift bestätigen"
"HISLES"	"Terminierte Sammellastschrift einreichen Parameter"
"HISLLS"	"Terminierte Sammellastschrift löschen Parameter"
"HISPA"	"SEPA-Kontoverbindung rückmelden"
"HISPAS"	"SEPA-Kontoverbindung anfordern, Parameter"
"HISRBS"	"Sorten- und Reisescheckbestellung Parameter"
"HISRK"	"Sorten- und Reisescheckkonditionen rückmelden"
"HISRKS"	"Sorten- und Reisescheckkonditionen Parameter"
"HISSP"	"Bestätigung der Schlüsselsperrung"
"HISTPS"	"Euro-STP-Zahlung Parameter"
"HISUBS"	"Sammelüberweisung Parameter"
"HISYN"	"Synchronisierungsantwort"
"HISZT"	"Serverzeit"
"HISZTS"	"Serverzeit Parameter"
"HITAB"	"TAN-Generator/Liste anzeigen Bestand Rückmeldung"
"HITABS"	"TAN-Generator/Liste anzeigen Bestand Parameter"
"HITAN"	"Zwei-Schritt TAN Einreichung Rückmeldung"
"HITANS"	"Zwei-Schritt TAN Einreichung Parameter"
"HITAUS"	"TAN-Generator an- bzw. ummelden Parameter"
"HITAZ"	"TAN-Verbrauchsinformationen rückmelden"
"HITAZS"	"TAN-Verbrauchsinformationen Parameter"
"HITEA"	"Änderung terminierter Einzellastschrift bestätigen"
"HITEAS"	"Terminierte Einzellastschrift ändern Parameter"
"HITEB"	"Bestand terminierter Einzellastschriften rückmelden"
"HITEBS"	"Bestand terminierter Einzellastschriften Parameter"
"HITEE"	"Einreichung terminierter Einzellastschrift bestätigen"
"HITEES"	"Terminierte Einzellastschrift einreichen Parameter"
"HITELS"	"Terminierte Einzellastschrift löschen Parameter"
"HITLAS"	"TAN-Liste anfordern Parameter"
"HITLFS"	"TAN-Liste freischalten Parameter"
"HITMLS"	"TAN-Medium deaktivieren oder löschen Parameter"
"HITMVS"	"Terminvereinbarung Parameter "
"HITSB"	"Bestand terminierter Sammelüberweisungen rückmelden"
