"BKAMA"	"Mindestalteranfrage mit Autorisierung"
"HKVUE"	"Vorbereitete Überweisung anlegen"
"HKVUL"	"Vorbereitete Überweisung löschen"
"HKVVB"	"Verarbeitungsvorbereitung"
"HKWDU"	"Depotumsätze anfordern"
"HKWFO"	"Fondsorder einreichen"
"HKWFP"	"Festpreisangebote anfordern"
"HKWOA"	"Wertpapierorderänderung"
"HKWOH"	"Wertpapierorderhistorie anfordern"
"HKWPD"	"Depotaufstellung anfordern"
"HKWPH"	"Wichtige Informationen anfordern "
"HKWPI"	"Wertpapierinformationen anfordern"
"HKWPK"	"Wertpapierkurse anfordern"
"HKWPO"	"Wertpapierorder einreichen"
"HKWPR"	"Wertpapierreferenznummern anfordern "
"HKWPS"	"Wertpapierorderstreichung"
"HKWSD"	"Wertpapierstammdaten anfordern "
"HKWSO"	"Orderstatus anfordern"
"HNHBK"	"Nachrichtenkopf"
"HNHBS"	"Nachrichtenabschluss"
"HNSHA"	"Signaturabschluss"
"HNSHK"	"Signaturkopf"
"HNVSD"	"Verschlüsselte Daten"
"HNVSK"	"Verschlüsselungskopf"
"IKSEP"	"Auslandsüberweisung""
"IISEPS"	"Auslandsüberweisung Parameter"
