MFI_ID	BIC	HOST	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	DOMICILE	HEAD_NAME	HEAD_ID	RESERVE	EXEMPT
DE00428	SOLADES1SNG	DE	Sparkasse Singen-Radolfzell	220	Erzbergerstr. 2a	78224	Singen	Credit Institution				Yes	No
DE06239	HELADEF1SON	DE	Sparkasse Sonneberg	100444	Bahnhofstr. 61	96515	Sonneberg, Thüringen	Credit Institution				Yes	No
DE06174	WELADED1CBN	DE	Sparkasse Spree-Neiße	100643	Breitscheidplatz 3	03046	Cottbus	Credit Institution				Yes	No
DE00418	SOLADES1STB	DE	Sparkasse St. Blasien	1160	Menzenschwander Straße 1	79837	St. Blasien	Credit Institution				Yes	No
DE00761	NOLADE21STS	DE	Sparkasse Stade-Altes Land	2060	Pferdemarkt 11 a	21682	Stade	Credit Institution				Yes	No
DE00666	HELADEF1HEP	DE	Sparkasse Starkenburg	1340	An der Sparkasse	64646	Heppenheim, Bergstraße	Credit Institution				Yes	No
DE00430	SOLADES1STF	DE	Sparkasse Staufen - Breisach	11 62	Münstertäler Str. 2	79219	Staufen	Credit Institution				Yes	No
DE00431	SOLADES1STO	DE	Sparkasse Stockach	1165	Schillerstr. 8	78333	Stockach	Credit Institution				Yes	No
DE01094	NOLADE21SHO	DE	Sparkasse Südholstein		Kieler Straße 1	24534	Neumünster, Holst	Credit Institution				Yes	No
DE01032	SOLADES1SUW	DE	Sparkasse Südliche Weinstraße in Landau i.d. Pfalz		Marie-Curie-Str. 5	76829	Landau i.d. Pfalz	Credit Institution				Yes	No
DE01045	MALADE51SWP	DE	Sparkasse Südwestpfalz	22 63	Bahnhofstraße 21 - 29	66953	Pirmasens	Credit Institution				Yes	No
DE05735	SOLADES1TBB	DE	Sparkasse Tauberfranken	1180	Hauptstr. 68	97941	Tauberbischofsheim	Credit Institution				Yes	No
DE01053	TRISDE55XXX	DE	Sparkasse Trier	25 40	Theodor-Heuss-Allee 1	54292	Trier	Credit Institution				Yes	No
DE06131	WELADED1UMP	DE	Sparkasse Uckermark	1233	Georg-Dreke-Ring 62	17291	Prenzlau	Credit Institution				Yes	No
