Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung
1965;58660101;GENODED1BIT;Volksbank Bitburg eG;Bitburg;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1966;58661901;GENODED1WSC;Raiffeisenbank Westeifel eG;Westeifel;Atruvia AG;BVR;fints1.atruvia.de;nicht unterstützt;3.0;;;;;;;;ja;;ja;ja;;;;https://fints1.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
1967;58751230;MALADE51BKS;Sparkasse Mittelmosel-Eifel-Mosel-Hunsrück;Bernkastel-Kues;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-rp1.s-fints-pt-rp.de/fints30;FinTS V3.0;09.02.2022
1968;58771224;DEUTDEDB587;Deutsche Bank Privat und Geschäftskunden;Bernkastel-Kues;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1969;58771224;DEUTDEDB587;Deutsche Bank Privat und Geschäftskunden;Traben-Trarbach;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1970;58771224;DEUTDEDB587;Deutsche Bank Privat und Geschäftskunden;Zell (Mosel);eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1971;58771242;DEUTDE5M587;Deutsche Bank;Bernkastel-Kues;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1972;58771242;DEUTDE5M587;Deutsche Bank;Traben-Trarbach;eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1973;58771242;DEUTDE5M587;Deutsche Bank;Zell (Mosel);eigenes Rechenzentrum;BdB;;193.150.167.7;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1974;59010066;PBNKDEFFXXX;Postbank;Saarbrücken;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;10.04.2015
1975;59020090;HYVEDEMM432;UniCredit Bank - HypoVereinsbank AG;Saarbrücken;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
1976;59020090;HYVEDEMM432;UniCredit Bank - HypoVereinsbank AG;Zweibrücken, Pfalz;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
1977;59020090;HYVEDEMM432;UniCredit Bank - HypoVereinsbank AG;Sulzbach, Saar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
1978;59020090;HYVEDEMM432;UniCredit Bank - HypoVereinsbank AG;Völklingen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
1979;59020090;HYVEDEMM432;UniCredit Bank - HypoVereinsbank AG;St. Wendel, Saar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
1980;59020090;HYVEDEMM432;UniCredit Bank - HypoVereinsbank AG;Dillingen, Saar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
