Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
1059;38260082;Volksbank Euskirchen eG;Euskirchen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1060;38440016;Commerzbank;Bergneustadt;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1061;38440016;Commerzbank;Gummersbach;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1062;38440016;Commerzbank;Waldbröl;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1063;38440016;Commerzbank;Wiehl;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1064;38450000;Sparkasse Gummersbach-Bergneustadt ;Gummersbach-Bergneustadt;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i033.rl.s-hbci.de;193.110.133.36;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1065;38452490;Sparkasse Wiehl ;Wiehl ;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i073.rl.s-hbci.de;193.110.133.36;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;27.04.2005;;;;;
1066;38460081;Volksbank Oberberg eG;Oberberg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1067;38462135;Raiffeisenbank Wiehl eG;Wiehl;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1068;38470024;Deutsche Bank Privat und Geschäftskunden AG;Bergneustadt;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1069;38470024;Deutsche Bank Privat und Geschäftskunden AG;Engelskirchen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1070;38470024;Deutsche Bank Privat und Geschäftskunden AG;Gummersbach;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1071;38470024;Deutsche Bank Privat und Geschäftskunden AG;Meinerzhagen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1072;38470024;Deutsche Bank Privat und Geschäftskunden AG;Waldbröl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1073;38470091;Deutsche Bank AG;Bergneustadt;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1074;38470091;Deutsche Bank AG;Engelskirchen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1075;38470091;Deutsche Bank AG;Gummersbach;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1076;38470091;Deutsche Bank AG;Meinerzhagen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1077;38470091;Deutsche Bank AG;Waldbröl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1078;38621500;Steyler Missionssparinst. GmbH;Steyl;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1079;38650000;Kreissparkasse Köln;Siegburg;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i016.rl.s-hbci.de;193.110.133.36;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;27.04.2005;;;;;
1080;38651390;Sparkasse Hennef ;Hennef ;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i070.rl.s-hbci.de;193.110.133.36;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1081;39010111;SEB AG;Aachen;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
1082;39040013;Commerzbank;Eschweiler;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1083;39040013;Commerzbank;Aachen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1084;39040013;Commerzbank;Stolberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1085;39040013;Commerzbank;Würselen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1086;39040013;Commerzbank;Jülich;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1087;39040013;Commerzbank;Herzogenrath;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1088;39040013;Commerzbank;Simmerath;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1089;39050000;Sparkasse Aachen ;Aachen;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i007.rl.s-hbci.de;193.110.133.36;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;15.06.2005;;;;;
1090;39060180;Aachener Bank eG Volksbank;Aachen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1091;39061981;Heinsberger Volksbank AG;Heinsberg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1092;39070020;Deutsche Bank AG;Eschweiler, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1093;39070020;Deutsche Bank AG;Alsdorf, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1094;39070020;Deutsche Bank AG;Aldenhoven b Jülich;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1095;39070020;Deutsche Bank AG;Aachen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1096;39070020;Deutsche Bank AG;Jülich;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1097;39070020;Deutsche Bank AG;Hückelhoven;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1098;39070020;Deutsche Bank AG;Herzogenrath;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1099;39070020;Deutsche Bank AG;Übach-Palenberg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1100;39070020;Deutsche Bank AG;Stolberg (Rhld.);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1101;39070020;Deutsche Bank AG;Würselen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1102;39070020;Deutsche Bank AG;Heinsberg, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1103;39070024;Deutsche Bank Privat und Geschäftskunden AG;Aachen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1104;39070024;Deutsche Bank Privat und Geschäftskunden AG;Aldenhoven b Jülich;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1105;39070024;Deutsche Bank Privat und Geschäftskunden AG;Alsdorf, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1106;39070024;Deutsche Bank Privat und Geschäftskunden AG;Eschweiler, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1107;39070024;Deutsche Bank Privat und Geschäftskunden AG;Heinsberg, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1108;39070024;Deutsche Bank Privat und Geschäftskunden AG;Herzogenrath;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1109;39070024;Deutsche Bank Privat und Geschäftskunden AG;Hückelhoven;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1110;39070024;Deutsche Bank Privat und Geschäftskunden AG;Jülich;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1111;39070024;Deutsche Bank Privat und Geschäftskunden AG;Stolberg (Rhld.);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1112;39070024;Deutsche Bank Privat und Geschäftskunden AG;Übach-Palenberg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1113;39070024;Deutsche Bank Privat und Geschäftskunden AG;Würselen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1114;39080005;Dresdner Bank;Geilenkirchen;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1115;39080005;Dresdner Bank;Alsdorf;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1116;39080005;Dresdner Bank;Aachen;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1117;39080005;Dresdner Bank;Stolberg ;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1118;39080005;Dresdner Bank;Heinsberg;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1119;39080005;Dresdner Bank;Baesweiler;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1120;39162980;Volksbank Würselen eG;Würselen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1121;39362254;Raiffeisenbank Eschweiler eG;Eschweiler;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1122;39540052;Commerzbank;Düren;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1123;39550110;Sparkasse Düren ;Düren;Finanz Informatik GmbH & Co. KG (Rheinland);DSGV;i008.rl.s-hbci.de;193.110.133.36;2.2;ja;;;;;;;;;;;https://hbci-pintan-rl.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;27.04.2005;;;;;
1124;39560201;Volksbank Düren eG;Düren;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1125;39570024;Deutsche Bank Privat und Geschäftskunden AG;Düren, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1126;39570024;Deutsche Bank Privat und Geschäftskunden AG;Kreuzau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1127;39570061;Deutsche Bank AG;Düren, Rheinl;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1128;39570061;Deutsche Bank AG;Kreuzau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1129;39580041;Dresdner Bank;Zülpich;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1130;39580041;Dresdner Bank;Jülich;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1131;39580041;Dresdner Bank;Euskirchen;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1132;39580041;Dresdner Bank;Eschweiler;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1133;39580041;Dresdner Bank;Düren;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1134;39580041;Dresdner Bank;Erftstadt;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1135;39580041;Dresdner Bank;Schleiden;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
1136;40010111;SEB AG;Münster, Westf;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
1137;40040028;Commerzbank;Greven;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1138;40040028;Commerzbank;Dülmen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1139;40040028;Commerzbank;Coesfeld;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1140;40040028;Commerzbank;Lüdinghausen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1141;40040028;Commerzbank;Münster;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1142;40040028;Commerzbank;Emsdetten;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
1143;40050150;Stadtsparkasse Münster;Münster;Finanz Informatik GmbH & Co. KG (Westfalen);DSGV;w001.s-hbci.de;195.140.117.238;2.2;ja;;;;;;;;;;;https://hbci-pintan-wf.s-hbci.de/PinTanServlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1144;40060000;WGZ-Zentralbank, Münster;Münster;GAD eG;BVR;hbci.gad.de;nicht unterstützt;2.2;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
1145;40060265;DKM Darlehnskasse Münster eG;Münster;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1146;40060300;WL-Bank;Münster;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1147;40061238;Volksbank Greven eG;Greven;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1148;40069226;Volksbank Darup-Rorup eG;Darup-Rorup;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1149;40069266;Volksbank Marsberg eG;Marsberg;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1150;40069283;Volksbank Schlangen eG;Schlangen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1151;40069348;Volksbank Medebach eG;Medebach;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1152;40069362;Volksbank Saerbeck eG;Saerbeck;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1153;40069363;Volksbank Schermbeck eG.;Schermbeck;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1154;40069371;Volksbank Brilon-Thülen eG;Brilon-Thülen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1155;40069408;Volksbank Baumberge eG;Baumberge;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1156;40069462;Volksbank Sprakel eG.;Sprakel;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1157;40069537;VB Ostbevern-Kattenvenne eG;Ostbevern-Kattenvenne;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1158;40069546;Volksbank Senden eG;Senden;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1159;40069600;Volksbank Amelsbüren eG;Amelsbüren;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1160;40069601;Volksbank Ascheberg-Herbern eG.;Ascheberg-Herbern;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1161;40069606;Volksbank Erle eG.;Erle;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1162;40069622;Volksbank Seppenrade eG.;Seppenrade;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1163;40069709;Volksbank Lembeck-Rhade eG.;Lembeck-Rhade;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1164;40069716;VB Südkirchen-Cap.-Nordkirchen;Südkirchen;GAD eG;BVR;hbci.gad.de;nicht unterstützt;3.0;;;ja;ja;;ja;;ja;;ja;ja;https://hbci-pintan.gad.de/cgi-bin/hbciservlet;FinTS V3.0;15.02.2006;;;;;
1165;40070024;Deutsche Bank Privat und Geschäftskunden AG;Coesfeld;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1166;40070024;Deutsche Bank Privat und Geschäftskunden AG;Dülmen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1167;40070024;Deutsche Bank Privat und Geschäftskunden AG;Greven, Westf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1168;40070024;Deutsche Bank Privat und Geschäftskunden AG;Münster, Westf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1169;40070024;Deutsche Bank Privat und Geschäftskunden AG;Steinfurt, Westf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1170;40070024;Deutsche Bank Privat und Geschäftskunden AG;Warendorf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1171;40070080;Deutsche Bank AG;Greven, Westf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1172;40070080;Deutsche Bank AG;Steinfurt, Westf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1173;40070080;Deutsche Bank AG;Dülmen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1174;40070080;Deutsche Bank AG;Münster, Westf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1175;40070080;Deutsche Bank AG;Warendorf;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
1176;40070080;Deutsche Bank AG;Coesfeld;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
